,Gebietsnummer,Anzahl Einwohner,Anteil Deutsche,Anteil EU-Ausländer,Anteil Nicht EU-Ausländer,Anteil Migrationshintergrund,Anteil Ledige,Anteil Verheiratete,Anteil Deutsche W,Anteil EU-Ausländer W,Anteil 18-24-Jährige,Anteil 25-34-Jährige,Anteil 35-44-Jährige,Anteil 45-59-Jährige,Anteil 60-Jährige und Ältere,Anteil Einpersonenhaushalten,Anteil Haushalte mit Kindern,Wohndauer in München,SV-Beschäftigtendichte,Arbeitslosendichte,Erwerbsfähige Leistungsberechtigtendichte
67,4015,2157,78.3,12.0,9.6,36.6,49.1,36.5,85.8,14.2,8.8,18.1,17.5,21.6,33.9,59.4,13.4,23.1,62.6,2.3,2.6
68,4016,2844,82.1,8.7,9.2,43.9,52.9,39.8,87.5,12.5,13.3,10.5,17.8,41.6,16.8,28.3,42.1,20.1,62.6,2.3,2.6
69,4017,3195,72.7,11.3,16.1,47.6,59.5,31.7,82.8,17.2,11.3,20.9,23.1,28.1,16.6,35.2,35.2,13.9,62.6,2.3,2.6
70,4018,2219,82.6,10.0,7.4,31.4,57.0,33.8,88.6,11.4,12.0,26.3,17.2,22.1,22.4,54.5,16.3,18.3,62.6,2.3,2.6
71,4019,2385,71.5,16.3,12.2,42.9,61.0,28.6,80.4,19.6,12.2,29.8,17.9,17.9,22.2,64.4,10.2,16.8,62.6,2.3,2.6
72,4020,2083,83.5,10.0,6.5,30.3,61.4,28.2,88.4,11.6,7.1,30.8,18.6,20.5,23.0,68.2,11.8,18.4,62.6,2.3,2.6
73,4021,2164,83.4,10.1,6.6,28.5,57.2,32.3,88.3,11.7,6.2,21.9,21.2,25.8,24.9,60.4,15.8,19.5,62.6,2.3,2.6
74,4022,2243,78.8,13.6,7.6,34.1,58.8,30.8,84.4,15.6,6.8,28.7,19.5,20.8,24.2,65.1,11.2,18.0,62.6,2.3,2.6
75,4023,2076,83.6,9.9,6.5,31.6,57.1,31.4,88.4,11.6,6.5,27.2,21.4,19.8,25.1,64.4,13.2,18.0,62.6,2.3,2.6
76,4024,2056,81.8,12.4,5.8,30.9,60.7,29.1,86.0,14.0,6.9,30.4,19.5,21.6,21.7,66.3,12.3,16.9,62.6,2.3,2.6
77,4025,2135,81.6,12.3,6.0,32.3,56.5,32.8,85.8,14.2,7.1,24.0,20.0,22.0,26.9,62.7,14.6,19.3,62.6,2.3,2.6
78,4026,2234,81.4,11.6,7.0,32.9,55.4,34.1,86.7,13.3,6.8,21.4,20.1,26.2,25.5,60.1,16.0,19.5,62.6,2.3,2.6
79,4027,2237,79.9,11.9,8.1,33.4,60.8,29.5,86.0,14.0,8.7,27.9,18.8,22.9,21.7,62.3,14.6,17.2,62.6,2.3,2.6
80,4028,2293,76.1,11.2,12.7,35.8,66.2,25.8,85.9,14.1,13.4,28.9,17.8,19.5,20.5,62.2,14.9,16.2,62.6,2.3,2.6
81,4029,2095,81.4,11.0,7.6,32.1,60.2,29.1,87.3,12.7,7.6,27.8,17.2,21.6,25.8,66.3,11.1,18.8,62.6,2.3,2.6
82,4030,2243,76.5,13.6,9.8,36.4,62.2,26.4,84.0,16.0,8.5,33.1,18.2,18.4,21.8,67.7,9.0,17.2,62.6,2.3,2.6
203,10001,2476,70.0,16.0,14.0,43.3,45.6,45.1,80.2,19.8,9.2,18.9,15.7,28.4,27.7,43.6,20.0,20.9,63.7,3.6,6.5
204,10002,2498,77.3,13.8,8.9,40.8,43.3,44.7,82.8,17.2,7.4,17.0,19.0,26.2,30.5,43.8,22.7,22.1,63.7,3.6,6.5
205,10003,1951,81.8,9.9,8.3,34.7,39.0,51.2,88.2,11.8,9.1,13.3,12.8,30.1,34.7,40.9,16.6,26.7,63.7,3.6,6.5
206,10004,2794,63.0,17.3,19.7,58.4,46.6,39.4,76.7,23.3,10.1,21.2,14.8,21.5,32.3,49.5,19.2,21.3,63.7,3.6,6.5
